id,timestamp,value,sensor_id
20002,2024-08-26 19:28:52.941944,35.0,4
20005,2024-08-26 19:29:56.742100,35.0,4
20008,2024-08-26 19:31:00.513105,35.0,4
20011,2024-08-26 19:32:04.311382,35.0,4
20014,2024-08-26 19:33:08.080990,35.0,4
20017,2024-08-26 19:34:11.941531,35.0,4
20020,2024-08-26 19:35:15.660352,35.0,4
20023,2024-08-26 19:36:19.427900,35.0,4
20026,2024-08-26 19:37:23.400323,34.0,4
20029,2024-08-26 19:38:27.343178,35.0,4
20032,2024-08-26 19:39:31.149316,35.0,4
20035,2024-08-26 19:40:35.116059,35.0,4
20038,2024-08-26 19:41:38.911865,36.0,4
20041,2024-08-26 19:42:42.672525,34.0,4
20044,2024-08-26 19:43:46.440706,34.0,4
20047,2024-08-26 19:44:50.260077,35.0,4
20050,2024-08-26 19:45:54.204764,36.0,4
20053,2024-08-26 19:46:57.962236,35.0,4
20056,2024-08-26 19:48:01.832967,35.0,4
20059,2024-08-26 19:49:05.686038,35.0,4
20062,2024-08-26 19:50:09.510706,34.0,4
20065,2024-08-26 19:51:13.253671,35.0,4
20068,2024-08-26 19:52:17.059018,35.0,4
20071,2024-08-26 19:53:20.848810,36.0,4
20074,2024-08-26 19:54:24.793303,35.0,4
20077,2024-08-26 19:55:28.609526,35.0,4
20080,2024-08-26 19:56:32.403449,35.0,4
20083,2024-08-26 19:57:36.214172,36.0,4
20086,2024-08-26 19:58:40.009439,35.0,4
20089,2024-08-26 19:59:43.758174,35.0,4
20092,2024-08-26 20:00:47.552871,35.0,4
20095,2024-08-26 20:01:51.306410,35.0,4
20098,2024-08-26 20:02:55.315432,35.0,4
20101,2024-08-26 20:03:59.077333,35.0,4
20104,2024-08-26 20:05:02.999021,35.0,4
20107,2024-08-26 20:06:06.787118,35.0,4
20110,2024-08-26 20:07:10.606972,35.0,4
20113,2024-08-26 20:08:14.384819,36.0,4
20116,2024-08-26 20:09:18.157386,35.0,4
20119,2024-08-26 20:10:21.994047,35.0,4
20122,2024-08-26 20:11:25.966734,35.0,4
20125,2024-08-26 20:12:29.867658,35.0,4
20128,2024-08-26 20:13:33.667100,35.0,4
20131,2024-08-26 20:14:37.465734,35.0,4
